CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
8001008402,Colorado,Adams County,0,4352,1574,0,0.0,0.0,0,0,0,0,0,0,3.1,84567.0,1,1,0,0,0,1,0,0,601.0,601.0,36.0,166.0,166.0,10.0,4352.0,100.0,1015.0,23.33,1256.0,28.86,405.0,9.31,4049.0,93.04,32.0,0.74,24.0,0.55,3.0,0.07,30.0,0.69,214.0,4.92,398.0,9.15,45.0,2.85,66.0,4.19,4352.0,100.0,1015.0,23.33,1256.0,28.86,405.0,9.31,4049.0,93.04,32.0,0.74,24.0,0.55,3.0,0.07,30.0,0.69,214.0,4.92,398.0,9.15,45.0,2.85,66.0,4.19,601.0,13.81,166.0,3.81,179.0,4.11,47.0,1.08,566.0,13.0,4.0,0.09,2.0,0.04,1.0,0.02,5.0,0.11,23.0,0.54,55.0,1.26,5.0,0.31,9.0,0.54,36.0,0.84,10.0,0.23,8.0,0.18,3.0,0.07,36.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.0,0.0,1.0,0.04,1119.0,1256.0,405.0,4049.0,32.0,24.0,3.0,30.0,214.0,398.0,46.0,67.0
8001008505,Colorado,Adams County,1,6655,2376,0,0.0,0.0,0,0,0,0,0,0,12.5,77927.0,0,1,0,1,0,0,0,0,,579.0,,,221.0,,579.0,8.7,221.0,3.32,124.0,1.86,97.0,1.46,481.0,7.23,10.0,0.15,12.0,0.18,2.0,0.02,10.0,0.15,64.0,0.96,154.0,2.32,0.0,0.01,17.0,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2241.0,1543.0,974.0,5281.0,98.0,129.0,12.0,92.0,1043.0,2061.0,33.0,193.0
8001008506,Colorado,Adams County,1,5383,2425,0,129.0,2.4,0,0,0,0,0,1,10.5,51993.0,0,0,0,0,0,0,0,0,,242.0,,,113.0,,242.0,4.49,113.0,2.1,41.0,0.76,8.0,0.15,175.0,3.26,8.0,0.14,9.0,0.16,0.0,0.01,5.0,0.1,44.0,0.82,67.0,1.24,7.0,0.3,22.0,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3043.0,1334.0,542.0,3848.0,200.0,166.0,10.0,97.0,1062.0,1800.0,401.0,457.0
8001008507,Colorado,Adams County,1,6099,2036,0,0.0,0.0,0,0,0,0,0,0,14.6,82252.0,0,1,0,1,0,0,0,0,,3096.0,,,649.0,,3096.0,50.76,649.0,10.64,766.0,12.55,409.0,6.71,2503.0,41.05,33.0,0.54,58.0,0.94,0.0,0.0,65.0,1.06,437.0,7.17,846.0,13.87,40.0,1.96,53.0,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1577.0,1562.0,815.0,4904.0,76.0,127.0,0.0,99.0,893.0,1774.0,72.0,102.0
8001008508,Colorado,Adams County,1,5342,1893,0,6.0,0.11,0,0,0,0,0,0,6.8,80833.0,0,1,0,1,0,0,0,0,48.0,3177.0,48.0,8.0,464.0,8.0,3177.0,59.46,464.0,8.68,843.0,15.77,186.0,3.49,2539.0,47.53,40.0,0.74,153.0,2.86,2.0,0.04,44.0,0.82,399.0,7.48,713.0,13.35,24.0,1.25,95.0,5.02,48.0,0.9,8.0,0.15,14.0,0.26,3.0,0.05,35.0,0.65,1.0,0.02,6.0,0.12,0.0,0.0,0.0,0.0,6.0,0.11,9.0,0.17,0.0,0.01,1.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1190.0,1426.0,360.0,4315.0,82.0,196.0,4.0,66.0,679.0,1237.0,60.0,163.0
8001008523,Colorado,Adams County,0,7586,2610,0,0.0,0.0,0,0,0,0,0,0,8.8,108846.0,0,0,0,0,0,0,0,0,,,,,,,7469.0,98.46,1154.0,15.21,2109.0,27.8,653.0,8.61,6377.0,84.07,87.0,1.14,91.0,1.2,1.0,0.01,73.0,0.97,840.0,11.07,1681.0,22.16,38.0,1.47,50.0,1.93,5153.0,67.93,566.0,7.47,1295.0,17.07,511.0,6.73,4522.0,59.61,58.0,0.77,59.0,0.77,1.0,0.01,55.0,0.73,458.0,6.03,938.0,12.36,26.0,0.99,36.0,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1266.0,2152.0,661.0,6458.0,91.0,93.0,1.0,76.0,867.0,1731.0,43.0,56.0
8001008524,Colorado,Adams County,1,7814,2462,0,0.0,0.0,0,0,0,0,0,0,4.6,106138.0,0,1,0,1,0,0,0,0,414.0,5436.0,414.0,34.0,524.0,34.0,5436.0,69.57,524.0,6.7,1746.0,22.34,247.0,3.16,4685.0,59.95,70.0,0.89,169.0,2.16,12.0,0.15,47.0,0.6,454.0,5.81,1108.0,14.19,24.0,0.96,14.0,0.55,414.0,5.3,34.0,0.43,117.0,1.5,31.0,0.4,360.0,4.6,5.0,0.06,11.0,0.14,5.0,0.06,4.0,0.05,30.0,0.38,84.0,1.08,3.0,0.12,1.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864.0,2581.0,325.0,6620.0,102.0,369.0,15.0,66.0,642.0,1519.0,38.0,20.0
8001008526,Colorado,Adams County,1,6742,2410,0,0.0,0.0,0,0,0,0,0,0,5.3,104236.0,1,1,1,1,1,0,0,0,2651.0,6201.0,2651.0,415.0,1221.0,415.0,6201.0,91.97,1221.0,18.12,1774.0,26.32,433.0,6.43,5382.0,79.83,88.0,1.31,319.0,4.73,3.0,0.04,51.0,0.76,358.0,5.3,800.0,11.87,80.0,3.34,39.0,1.64,2651.0,39.32,415.0,6.15,756.0,11.21,230.0,3.41,2312.0,34.3,39.0,0.58,125.0,1.85,1.0,0.01,24.0,0.36,149.0,2.22,338.0,5.02,26.0,1.09,16.0,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1486.0,1929.0,459.0,5840.0,93.0,377.0,3.0,54.0,375.0,873.0,103.0,45.0
8001008529,Colorado,Adams County,1,7446,3308,0,0.0,0.0,0,0,0,0,0,0,7.9,74750.0,1,1,1,1,1,0,0,0,647.0,4142.0,647.0,80.0,839.0,80.0,4142.0,55.63,839.0,11.27,927.0,12.45,392.0,5.26,3412.0,45.82,89.0,1.19,127.0,1.7,4.0,0.05,42.0,0.56,470.0,6.31,827.0,11.1,97.0,2.93,75.0,2.28,647.0,8.69,80.0,1.08,170.0,2.29,74.0,0.99,545.0,7.32,7.0,0.09,25.0,0.34,1.0,0.01,10.0,0.13,59.0,0.79,95.0,1.27,18.0,0.55,10.0,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575.0,1664.0,546.0,5952.0,173.0,238.0,10.0,65.0,1008.0,1625.0,172.0,135.0
8001008533,Colorado,Adams County,1,7650,2976,0,142.0,1.86,0,0,0,0,1,0,6.3,88641.0,1,1,1,1,1,0,0,1,698.0,5002.0,698.0,134.0,954.0,134.0,5002.0,65.38,954.0,12.47,1281.0,16.75,571.0,7.47,3892.0,50.88,141.0,1.85,257.0,3.36,1.0,0.01,46.0,0.6,664.0,8.68,1379.0,18.03,115.0,3.86,91.0,3.05,698.0,9.12,134.0,1.75,232.0,3.03,13.0,0.17,515.0,6.74,18.0,0.24,71.0,0.93,1.0,0.01,8.0,0.11,84.0,1.09,188.0,2.46,14.0,0.45,10.0,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1516.0,2044.0,696.0,5908.0,230.0,445.0,4.0,76.0,987.0,2191.0,131.0,134.0
8001008534,Colorado,Adams County,1,4283,1399,0,0.0,0.0,0,0,0,0,0,0,0.9,93690.0,1,1,1,1,1,0,0,0,975.0,3448.0,975.0,128.0,478.0,128.0,3448.0,80.51,478.0,11.16,959.0,22.4,152.0,3.54,2851.0,66.56,29.0,0.68,88.0,2.05,13.0,0.3,38.0,0.89,429.0,10.03,860.0,20.08,38.0,2.73,84.0,5.99,975.0,22.76,128.0,2.98,282.0,6.59,45.0,1.06,788.0,18.41,6.0,0.14,26.0,0.6,2.0,0.05,8.0,0.19,145.0,3.38,269.0,6.28,11.0,0.77,24.0,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632.0,1195.0,194.0,3488.0,47.0,138.0,13.0,48.0,549.0,1070.0,43.0,100.0
8001008535,Colorado,Adams County,1,3298,1111,0,0.0,0.0,0,0,0,0,0,0,4.7,86094.0,1,1,1,1,1,0,0,0,3298.0,3298.0,3298.0,901.0,901.0,901.0,3298.0,100.0,901.0,27.3,1101.0,33.38,126.0,3.82,2486.0,75.38,70.0,2.12,71.0,2.15,1.0,0.03,40.0,1.21,630.0,19.1,1178.0,35.72,27.0,2.45,79.0,7.08,3298.0,100.0,901.0,27.3,1101.0,33.38,126.0,3.82,2486.0,75.38,70.0,2.12,71.0,2.15,1.0,0.03,40.0,1.21,630.0,19.1,1178.0,35.72,27.0,2.45,79.0,7.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1004.0,1101.0,126.0,2486.0,70.0,71.0,1.0,40.0,630.0,1178.0,28.0,81.0
8001008536,Colorado,Adams County,1,2443,832,0,0.0,0.0,0,0,0,0,0,0,1.5,114360.0,1,1,1,1,1,0,0,0,2315.0,2443.0,2315.0,136.0,144.0,136.0,2443.0,100.0,144.0,5.89,747.0,30.58,113.0,4.63,1972.0,80.72,76.0,3.11,157.0,6.43,4.0,0.16,13.0,0.53,221.0,9.05,500.0,20.47,5.0,0.61,21.0,2.54,2315.0,94.75,136.0,5.58,727.0,29.77,94.0,3.86,1861.0,76.16,74.0,3.02,145.0,5.94,4.0,0.16,13.0,0.53,218.0,8.94,483.0,19.75,5.0,0.57,20.0,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.0,747.0,113.0,1972.0,76.0,157.0,4.0,13.0,221.0,500.0,6.0,25.0
8001008537,Colorado,Adams County,1,6047,1858,0,0.0,0.0,0,0,0,0,0,0,7.7,93464.0,1,1,1,1,1,0,0,0,6047.0,6047.0,6047.0,1265.0,1265.0,1265.0,6047.0,100.0,1265.0,20.92,2075.0,34.31,241.0,3.99,4827.0,79.82,75.0,1.24,210.0,3.47,2.0,0.03,56.0,0.93,877.0,14.5,2010.0,33.24,8.0,0.43,66.0,3.56,6047.0,100.0,1265.0,20.92,2075.0,34.31,241.0,3.99,4827.0,79.82,75.0,1.24,210.0,3.47,2.0,0.03,56.0,0.93,877.0,14.5,2010.0,33.24,8.0,0.43,66.0,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1424.0,2075.0,241.0,4827.0,75.0,210.0,2.0,56.0,877.0,2010.0,8.0,67.0
8001008538,Colorado,Adams County,1,5305,1773,0,0.0,0.0,0,0,0,0,0,0,4.9,111917.0,1,1,1,1,1,0,0,0,2977.0,4882.0,2977.0,546.0,896.0,546.0,4882.0,92.03,896.0,16.89,1608.0,30.32,170.0,3.2,4020.0,75.78,210.0,3.96,110.0,2.07,8.0,0.15,38.0,0.72,495.0,9.34,836.0,15.75,10.0,0.57,65.0,3.69,2977.0,56.11,546.0,10.3,970.0,18.29,95.0,1.8,2499.0,47.1,117.0,2.21,59.0,1.12,4.0,0.08,22.0,0.42,276.0,5.19,425.0,8.02,6.0,0.35,40.0,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1388.0,1729.0,191.0,4349.0,237.0,132.0,8.0,42.0,537.0,918.0,14.0,91.0
8001008539,Colorado,Adams County,1,8437,2660,0,0.0,0.0,0,0,0,0,0,0,2.6,88845.0,1,1,1,1,1,0,0,0,3480.0,7575.0,3480.0,632.0,1376.0,632.0,7575.0,89.79,1376.0,16.31,2560.0,30.34,235.0,2.79,5590.0,66.26,357.0,4.24,300.0,3.55,12.0,0.14,88.0,1.04,1228.0,14.56,2490.0,29.51,56.0,2.09,138.0,5.19,3480.0,41.24,632.0,7.49,1180.0,13.98,83.0,0.99,2518.0,29.85,174.0,2.07,113.0,1.34,4.0,0.04,40.0,0.47,630.0,7.47,1193.0,14.15,26.0,0.97,64.0,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1938.0,2862.0,266.0,6191.0,398.0,346.0,12.0,102.0,1388.0,2773.0,71.0,176.0
8001008540,Colorado,Adams County,1,6408,2087,0,0.0,0.0,0,0,0,0,0,0,0.7,111308.0,1,1,1,1,1,0,0,0,916.0,4647.0,916.0,43.0,216.0,43.0,4647.0,72.52,216.0,3.37,1467.0,22.89,209.0,3.26,3757.0,58.62,115.0,1.8,358.0,5.58,4.0,0.06,25.0,0.39,389.0,6.06,921.0,14.38,27.0,1.28,28.0,1.36,916.0,14.29,43.0,0.66,296.0,4.62,31.0,0.48,726.0,11.33,26.0,0.41,70.0,1.1,1.0,0.02,11.0,0.18,81.0,1.26,181.0,2.83,5.0,0.24,5.0,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.0,2031.0,276.0,5136.0,154.0,524.0,6.0,39.0,549.0,1300.0,44.0,47.0
8001008541,Colorado,Adams County,1,4277,1500,0,0.0,0.0,0,0,0,0,0,0,2.2,138944.0,1,1,1,1,1,0,0,0,4277.0,4277.0,4277.0,203.0,203.0,203.0,4277.0,100.0,203.0,4.76,1047.0,24.48,460.0,10.76,3871.0,90.51,37.0,0.87,133.0,3.11,1.0,0.02,23.0,0.54,212.0,4.96,489.0,11.43,19.0,1.27,21.0,1.42,4277.0,100.0,203.0,4.76,1047.0,24.48,460.0,10.76,3871.0,90.51,37.0,0.87,133.0,3.11,1.0,0.02,23.0,0.54,212.0,4.96,489.0,11.43,19.0,1.27,21.0,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.0,1047.0,460.0,3871.0,37.0,133.0,1.0,23.0,212.0,489.0,26.0,29.0
8001008542,Colorado,Adams County,1,7036,2227,0,0.0,0.0,0,0,0,0,0,0,4.3,100917.0,0,1,0,1,0,0,0,0,308.0,5170.0,308.0,34.0,588.0,34.0,5170.0,73.48,588.0,8.35,1773.0,25.2,214.0,3.05,4302.0,61.14,58.0,0.83,136.0,1.94,6.0,0.08,44.0,0.63,623.0,8.86,1167.0,16.58,25.0,1.1,45.0,2.03,308.0,4.38,34.0,0.49,111.0,1.58,13.0,0.19,257.0,3.65,4.0,0.05,4.0,0.06,0.0,0.0,5.0,0.07,38.0,0.54,57.0,0.81,1.0,0.04,3.0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1033.0,2472.0,275.0,5885.0,84.0,177.0,10.0,57.0,823.0,1548.0,40.0,74.0
8001008543,Colorado,Adams County,1,6935,2361,0,197.0,2.84,0,0,0,0,0,0,6.8,83611.0,1,1,1,1,1,0,0,0,1724.0,5733.0,1724.0,345.0,1589.0,345.0,5733.0,82.66,1589.0,22.91,1822.0,26.27,480.0,6.93,4656.0,67.14,41.0,0.6,61.0,0.88,5.0,0.07,65.0,0.93,904.0,13.04,2081.0,30.01,45.0,1.91,81.0,3.44,1724.0,24.86,345.0,4.97,537.0,7.74,145.0,2.08,1506.0,21.72,7.0,0.1,27.0,0.39,0.0,0.0,16.0,0.22,168.0,2.42,430.0,6.2,5.0,0.19,25.0,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2335.0,2034.0,917.0,5696.0,53.0,67.0,6.0,81.0,1032.0,2362.0,95.0,124.0
